Dosage,DosageFreq,Formulation_ Liquid,Formulation_Capsule ,Formulation_Cream,Formulation_Eyedrop,Formulation_Inhaler,Formulation_Liquid,Formulation_Ointment,Formulation_Other,Formulation_Others,Formulation_Spray,Formulation_Tablet,Brand_Names_,Drug_Name_
0,3,0,0,0,0,0,0,1,0,0,0,0,Surolan,Prednisolone
"Combivent 20/100 (ipratropium bromide / albuterol) Metered Dose Inhalation Spray, 120 ACTUAT",1,0,0,0,0,1,0,0,0,0,0,0,DuoNeb,Salbutamol
3 MG,2,0,1,0,0,0,0,0,0,0,0,0,Entocort,Budesonide
250MG/ 5ML ,1,0,0,0,0,0,1,0,0,0,0,0,Febrol,Paracetamol
10 MG,3,0,0,0,0,0,0,0,0,0,0,1,Wal-vert,Loratadine
 0.25 MG/ACTUAT,1,0,0,0,0,1,0,0,0,0,0,0,Flonase Sensimist,Fluticasone
0,1,0,0,0,0,0,0,1,0,0,0,0,MILLIPRED,Prednisolone
10 MG ,1,0,1,0,0,0,0,0,0,0,0,0,Bentyl,Dicyclomine
250MG/ 5ML ,1,0,0,0,0,0,1,0,0,0,0,0,Febrol,Paracetamol
250MG/ 5ML ,3,0,0,0,0,0,1,0,0,0,0,0,Calpol,Paracetamol
 0.25 MG/ACTUAT,3,0,0,0,0,1,0,0,0,0,0,0,Nasopro 24,Fluticasone
150 MG,2,0,0,0,0,0,0,0,0,0,0,1,Rilexine,Cephalexin
10 MG,1,0,0,0,0,0,0,0,0,0,0,1,Loradamed,Loratadine
40 MG/ML,1,1,0,0,0,0,0,0,0,0,0,0,AzaSite,Azithromycin
 0.25 MG/ACTUAT,2,0,0,0,0,1,0,0,0,0,0,0,Trelegy,Fluticasone
400 MG,1,0,0,0,0,0,0,0,0,0,0,1,Clavacillin,Amoxicillin
0,2,0,0,0,0,0,0,0,1,0,0,0,Otomax,Clotrimazole
0.75%,3,0,0,1,0,0,0,0,0,0,0,0,Nydamax,Metronidazole
400 MG,2,0,0,0,0,0,0,0,0,0,0,1,Moxatag,Amoxicillin
 0.25 MG/ACTUAT,1,0,0,0,0,1,0,0,0,0,0,0,Beser,Fluticasone
800 MG,2,0,0,0,0,0,0,0,0,0,0,1,Proprinal,Ibuprofen
0,3,0,0,0,0,0,0,0,1,0,0,0,Mometazole,Clotrimazole
0,1,0,0,0,0,0,0,0,1,0,0,0,Lotrimin,Clotrimazole
1000000 UNT,3,0,1,0,0,0,0,0,0,0,0,0,Nystop,Nystatin
100 MG ,3,0,0,0,0,0,0,0,0,0,0,1,Suprax,Cefixime
50 MG,2,0,1,0,0,0,0,0,0,0,0,0,Bayer Aspirin PM Reformulated Nov 2011,Diphenhydramine
3 MG,3,0,1,0,0,0,0,0,0,0,0,0,Entocort,Budesonide
3 MG,1,0,1,0,0,0,0,0,0,0,0,0,Ortikos,Budesonide
