Unnamed: 0,Brand_Names,Category,Dosage,Dosage Frequency,Category_Label,Drug_Name_Amoxicillin,Drug_Name_Atomoxetine,Drug_Name_Azithromycin,Drug_Name_Budesonide,Drug_Name_Cefixime,Drug_Name_Cefpodoxime,Drug_Name_Cephalexin,Drug_Name_Cetirizine,Drug_Name_Clarithromycin,Drug_Name_Desloratadine,Drug_Name_Diazepam,Drug_Name_Fexofenadine,Drug_Name_Loratadine,Drug_Name_Lorazepam,Drug_Name_Methylphenidate,Drug_Name_Midazolam,Drug_Name_Nystatin,Drug_Name_Paracetamol,Drug_Name_Sulfamethoxazole/Trimethoprim,Drug_Name_Tobramycin,Drug_Name_Vancomycin,Formulation_ Liquid,Formulation_Capsule ,Formulation_Eyedrop,Formulation_Liquid,Formulation_Others,Formulation_Tablet
14,Claritin-D,Antihistamines,10 MG,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
49,Sulfatrim,Antibiotics, 40 MG/ML,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0
37,Ativan,Psycholeptics,1 MG,2,5,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
26,Zylet,Antibiotics,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
20,Clarinex,Antihistamines,2.5 mg Desloratadine / 120 mg Pseudoephedrine sulfate per tablet,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
50,Pediapap,Pain Relievers (Analgesics),250 mg per 5 mL,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
14,Claritin-D,Antihistamines,10 MG,2,3,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
42,Firvanq,"Antidiarrheals, intestinal anti-inflammatory/anti-infective agents",25 MG/ML,1,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
26,Zylet,Antibiotics,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
26,Zylet,Antibiotics,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0
50,Pediapap,Pain Relievers (Analgesics),250 mg per 5 mL,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
4,Biaxin,Antibiotics,50 MG/ML,2,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
20,Clarinex,Antihistamines,2.5 mg Desloratadine / 120 mg Pseudoephedrine sulfate per tablet,1,3,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
3,Keflex,Antibiotics,150 MG,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,Pediapap,Pain Relievers (Analgesics),120 mg per 5 mL,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
50,Pediapap,Pain Relievers (Analgesics),250 mg per 5 mL,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0
2,Zithromax,Antibiotics,40 MG/ML,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
